Date,Open,High,Low,Close,Adj Close,Volume
2019-12-18,7525.299805,7557.100098,7515.200195,7540.799805,7540.799805,679287600
2019-12-19,7540.799805,7575.899902,7526.100098,7573.799805,7573.799805,661933000
2019-12-20,7573.799805,7599.500000,7564.600098,7582.500000,7582.500000,1159724000
2019-12-23,7582.500000,7628.200195,7559.600098,7623.600098,7623.600098,539145700
2019-12-24,7623.600098,7636.200195,7608.200195,7632.200195,7632.200195,185671600
2019-12-27,7632.200195,7665.399902,7622.500000,7644.899902,7644.899902,311117100
2019-12-30,7644.899902,7644.899902,7587.100098,7587.100098,7587.100098,304247900
2019-12-31,7587.100098,7587.399902,7532.399902,7542.399902,7542.399902,212142200
2020-01-02,7542.399902,7624.799805,7542.399902,7604.299805,7604.299805,482206700
2020-01-03,7604.299805,7626.399902,7551.000000,7622.399902,7622.399902,475628900
2020-01-06,7622.399902,7622.399902,7528.100098,7575.299805,7575.299805,516783400
2020-01-07,7575.299805,7604.600098,7562.100098,7573.899902,7573.899902,511576100
2020-01-08,7573.899902,7579.500000,7525.000000,7574.899902,7574.899902,606225000
2020-01-09,7574.899902,7627.799805,7574.899902,7598.100098,7598.100098,653838100
2020-01-10,7598.100098,7632.000000,7585.100098,7587.899902,7587.899902,651315600
2020-01-13,7587.899902,7635.799805,7582.500000,7617.600098,7617.600098,659019400
2020-01-14,7617.600098,7650.700195,7588.799805,7622.399902,7622.399902,697648200
2020-01-15,7622.399902,7642.799805,7609.399902,7642.799805,7642.799805,730575200
2020-01-16,7642.799805,7653.600098,7595.299805,7609.799805,7609.799805,573564200
2020-01-17,7609.799805,7689.700195,7609.799805,7674.600098,7674.600098,631970100
2020-01-20,7674.600098,7682.799805,7639.600098,7651.399902,7651.399902,358980900
2020-01-21,7651.399902,7651.399902,7550.500000,7610.700195,7610.700195,656519300
2020-01-22,7610.700195,7637.399902,7563.500000,7571.899902,7571.899902,604636000
2020-01-23,7571.899902,7572.100098,7503.200195,7507.700195,7507.700195,668616300
2020-01-24,7507.700195,7642.200195,7507.600098,7586.000000,7586.000000,605760000
2020-01-27,7586.000000,7586.000000,7392.799805,7412.100098,7412.100098,679457100
2020-01-28,7412.100098,7491.399902,7410.399902,7480.700195,7480.700195,535852000
2020-01-29,7480.700195,7514.700195,7462.200195,7483.600098,7483.600098,525036700
2020-01-30,7483.600098,7483.600098,7357.600098,7382.000000,7382.000000,685501900
2020-01-31,7382.000000,7398.299805,7275.000000,7286.000000,7286.000000,714049600
2020-02-03,7286.000000,7360.000000,7285.200195,7326.299805,7326.299805,645846700
2020-02-04,7326.299805,7442.100098,7326.299805,7439.799805,7439.799805,696703600
2020-02-05,7439.799805,7512.399902,7408.500000,7482.500000,7482.500000,818911400
2020-02-06,7482.500000,7533.600098,7482.500000,7504.799805,7504.799805,673947900
2020-02-07,7504.799805,7506.299805,7441.100098,7466.700195,7466.700195,705974200
2020-02-10,7466.700195,7466.700195,7427.899902,7446.899902,7446.899902,612817500
2020-02-11,7446.899902,7529.500000,7446.899902,7499.399902,7499.399902,700689800
2020-02-12,7499.399902,7547.700195,7499.000000,7534.399902,7534.399902,573044200
2020-02-13,7534.399902,7534.399902,7406.899902,7452.000000,7452.000000,823565400
2020-02-14,7452.000000,7472.899902,7403.700195,7409.100098,7409.100098,629855000
2020-02-17,7409.100098,7450.000000,7409.100098,7433.299805,7433.299805,394565700
2020-02-18,7433.299805,7433.299805,7353.399902,7382.000000,7382.000000,786827200
2020-02-19,7382.000000,7462.000000,7382.000000,7457.000000,7457.000000,602975900
2020-02-20,7457.000000,7480.500000,7436.600098,7436.600098,7436.600098,780481500
2020-02-21,7436.600098,7436.700195,7370.600098,7403.899902,7403.899902,872594700
2020-02-24,7403.899902,7403.899902,7114.500000,7156.799805,7156.799805,1081479400
2020-02-25,7156.799805,7198.200195,7004.899902,7017.899902,7017.899902,976469000
2020-02-26,7017.899902,7044.700195,6871.899902,7042.500000,7042.500000,982409600
2020-02-27,7042.500000,7042.500000,6730.000000,6796.399902,6796.399902,1224827000
2020-02-28,6796.399902,6796.399902,6460.100098,6580.600098,6580.600098,1979835300
2020-03-02,6580.600098,6775.200195,6496.000000,6654.899902,6654.899902,1770844200
2020-03-03,6654.899902,6846.299805,6654.899902,6718.200195,6718.200195,1277190200
2020-03-04,6718.200195,6856.299805,6700.200195,6815.600098,6815.600098,1115783100
2020-03-05,6815.600098,6834.100098,6662.600098,6705.399902,6705.399902,1146893100
2020-03-06,6705.399902,6705.399902,6431.399902,6462.600098,6462.600098,1377953500
2020-03-09,6462.600098,6462.600098,5891.600098,5965.799805,5965.799805,2098798700
2020-03-10,5965.799805,6231.100098,5927.899902,5960.200195,5960.200195,1729622400
2020-03-11,5960.200195,6088.500000,5860.799805,5876.500000,5876.500000,1507518600
2020-03-12,5876.500000,5876.500000,5237.500000,5237.500000,5237.500000,2209275500
2020-03-13,5237.500000,5696.500000,5237.500000,5366.100098,5366.100098,1935105000
2020-03-16,5366.100098,5366.100098,4898.799805,5151.100098,5151.100098,2111567500
2020-03-17,5151.100098,5309.000000,4978.799805,5294.899902,5294.899902,1941164900
2020-03-18,5294.899902,5294.899902,5006.200195,5080.600098,5080.600098,1837075100
2020-03-19,5080.600098,5181.000000,4942.399902,5151.600098,5151.600098,1963412200
2020-03-20,5151.600098,5419.299805,5151.600098,5190.799805,5190.799805,2585565700
2020-03-23,5190.799805,5194.799805,4922.799805,4993.899902,4993.899902,1629604900
2020-03-24,4993.899902,5446.000000,4993.899902,5446.000000,5446.000000,1582421000
2020-03-25,5446.000000,5741.399902,5400.500000,5688.200195,5688.200195,1860995600
2020-03-26,5688.200195,5815.700195,5503.399902,5815.700195,5815.700195,1536739000
2020-03-27,5815.700195,5815.700195,5407.100098,5510.299805,5510.299805,1457210400
2020-03-30,5510.299805,5567.200195,5351.799805,5563.700195,5563.700195,1136875400
2020-03-31,5563.700195,5702.700195,5545.899902,5672.000000,5672.000000,1602112800
2020-04-01,5672.000000,5672.000000,5414.700195,5454.600098,5454.600098,1670362100
